placa,tipo,estacionamiento,hora entrada,hora salida,duracion,tarifa,monto
0304,regular,A1,07-11-20 14:31:15,07-19-20 09:55:34,11244,0.05,562.20
4334,regular,A3,07-11-20 10:31:15,07-19-20 11:48:49,11597,0.05,579.85
3434,regular,A4,07-11-20 14:31:15,07-19-20 11:50:58,11359,0.05,567.95
2133,regular,B1,07-11-20 06:31:15,07-19-20 12:07:21,11136,0.05,556.80
1212,regular,C3,07-11-20 17:31:15,07-19-20 12:08:13,10476,0.05,523.80
1235,vip-false,A6,06-18-20 12:31:15,07-22-20 21:03:36,50192,100.00,100.00
8675,vip-false,A7,06-11-20 11:31:15,07-24-20 00:21:24,61250,100.00,749.05
8945,vip-false,A7,06-26-20 18:31:15,07-23-20 23:46:39,39195,100.00,100.00
4325,premium,A7,07-11-20 08:31:15,07-19-20 12:10:08,11018,6.50,6.50
9656,premium,B7,07-11-20 05:31:15,07-19-20 12:10:19,11199,6.50,6.50
3247,premium,C7,07-12-20 09:50:18,07-19-20 12:10:39,9500,6.50,6.50
2311,premium,D7,07-12-20 10:04:08,07-19-20 11:47:04,10182,6.50,6.50
4343,regular,D3,07-12-20 10:06:50,07-19-20 12:07:37,9480,0.05,474.00
636547575,regular,A5,07-19-20 08:49:54,07-19-20 12:25:38,504,0.05,25.20
1212,regular,A1,07-23-20 17:07:34,07-23-20 19:20:58,133,0.05,6.65
4325,premium,A6,07-23-20 18:03:39,07-23-20 19:21:11,77,6.50,6.50
234242344234,vip-true,A7,07-23-20 18:36:11,07-23-20 19:20:40,44,100.00,100.00
1212,regular,A1,07-24-20 11:02:43,07-24-20 11:29:53,27,0.05,1.35
1212,regular,A1,07-24-20 11:31:01,07-24-20 11:50:51,19,0.05,0.95
1212,regular,A1,07-24-20 11:51:27,07-24-20 12:06:02,705,0.05,35.25
1212,regular,A1,07-24-20 12:07:10,07-24-20 12:36:51,29,0.05,1.45
1212,regular,A1,07-24-20 12:49:11,07-24-20 12:59:36,10,0.04,0.40
